ID,Source,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
206,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,GMC,,
207,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Honda,,
208,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Hyundai,,
209,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Infiniti,,
210,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Isuzu,,
211,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Jaguar,,
212,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Jeep,,
213,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Kia,,
214,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Land Rover,,
215,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Lexus,,
216,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Lincoln,,
217,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Maserati,,
218,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mazda,,
219,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mercedes-Benz,,
220,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mini,,
221,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Mitsubishi,,
222,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Nissan,,
223,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Peugeot,,
224,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Porsche,,
225,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Ram Trucks,,
226,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Renault,,
227,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,SEAT,,
228,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Scion,,
229,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Subaru,,
230,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Suzuki,,
231,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Tesla Motors,,
232,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Toyota,,
233,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Vauxhall-Opel,,
234,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Volkswagen,,
235,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Brand,Volvo,,
236,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,,,
237,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Classic Vehicles,,
238,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Compact Cars,,
239,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Compact Cars,Compact Cars (New),
240,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Compact Cars,Compact Cars (Used),
241,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Convertibles,,
242,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Convertibles,Convertibles (New),
243,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Convertibles,Convertibles (Used),
244,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Coupes,,
245,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Coupes,Coupes (New),
246,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Coupes,Coupes (Used),
247,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Crossovers,,
248,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Crossovers,Crossovers (New),
249,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Crossovers,Crossovers (Used),
250,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Diesel Vehicles,,
251,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Diesel Vehicles,Diesel Vehicles (New),
252,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Diesel Vehicles,Diesel Vehicles (Used),
253,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hatchbacks,,
254,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hatchbacks,Hatchbacks (New),
255,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hatchbacks,Hatchbacks (Used),
256,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hybrid & Alternative Vehicles,,
257,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hybrid & Alternative Vehicles,Hybrid & Alternative Vehicles (New),
258,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Hybrid & Alternative Vehicles,Hybrid & Alternative Vehicles (Used),
259,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Luxury Vehicles,,
260,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Luxury Vehicles,Luxury Vehicles (New),
261,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Luxury Vehicles,Luxury Vehicles (Used),
262,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Microcars & Subcompacts,,
263,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Microcars & Subcompacts,Microcars & Subcompacts (New),
264,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Microcars & Subcompacts,Microcars & Subcompacts (Used),
265,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Motorcycles,,
266,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Motorcycles,Motorcycles (New),
267,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Motorcycles,Motorcycles (Used),
268,Google,In-market audiences,Autos & Vehicles,Motor Vehicles,Motor Vehicles by Type,Off-Road Vehicles,,
