,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
312,In-market audiences,Beauty & Personal Care,Bath & Body Products,,,,
313,In-market audiences,Beauty & Personal Care,Hair Care Products,,,,
314,In-market audiences,Beauty & Personal Care,Makeup & Cosmetics,,,,
315,In-market audiences,Beauty & Personal Care,Makeup & Cosmetics,Eye Makeup,,,
316,In-market audiences,Beauty & Personal Care,Makeup & Cosmetics,Face Makeup,,,
317,In-market audiences,Beauty & Personal Care,Makeup & Cosmetics,Lip Makeup,,,
318,In-market audiences,Beauty & Personal Care,Makeup & Cosmetics,Nail Care Products,,,
319,In-market audiences,Beauty & Personal Care,Perfumes & Fragrances,,,,
320,In-market audiences,Beauty & Personal Care,Skin Care Products,,,,
321,In-market audiences,Beauty & Personal Care,Skin Care Products,Anti-Aging Skin Care Products,,,
322,In-market audiences,Beauty & Personal Care,Skin Care Products,Face Lotions & Moisturizers,,,
323,In-market audiences,Beauty & Personal Care,Skin Care Products,Facial Cleansers & Makeup Removers,,,
324,In-market audiences,Beauty & Personal Care,Spas & Beauty Services,,,,
325,In-market audiences,Beauty & Personal Care,Tanning & Sun Care Products,,,,
326,In-market audiences,Business & Industrial Products,,,,,
327,In-market audiences,Business & Industrial Products,Food Service Equipment,,,,
328,In-market audiences,Business & Industrial Products,Signage,,,,
329,In-market audiences,Business Services,,,,,
330,In-market audiences,Business Services,Advertising & Marketing Services,,,,
331,In-market audiences,Business Services,Advertising & Marketing Services,SEO & SEM Services,,,
332,In-market audiences,Business Services,Business Financial Services,,,,
333,In-market audiences,Business Services,Business Printing & Document Services,,,,
334,In-market audiences,Business Services,Business Technology,,,,
335,In-market audiences,Business Services,Business Technology,Enterprise Software,,,
336,In-market audiences,Business Services,Business Technology,Enterprise Software,CRM Solutions,,
